Checked out by: Neb,PLEASE READ: MISSING/EDITED COMMENTS,Letter post:,http://yuletide.livejournal.com/1206311.html,Go to tab 2 to see letters by fandom and tab 3 to see the pinch hitters' requests!,,,,
,zeen,http://yuletide.livejournal.com/1206311.html?thread=18859815#t18859815,Withnail and I (1986),Belle (2013),The Charioteer - Mary Renault,Leopold and Loeb RPF,Maurice - E.M. Forster,The Conjuring (2013)
,sonicshambles,http://yuletide.livejournal.com/1206311.html?thread=18860071#t18860071,Jane of Lantern Hill - L.M. Montgomery,The Secret Garden - Frances Hodgson Burnett,The Thick of It (TV),Chess - Rice/Ulvaeus/Anderson,,
,Melody_Jade,http://yuletide.livejournal.com/1206311.html?thread=18860327#t18860327,Women of the Otherworld - Kelley Armstrong,Jiàn Yǔ | Reign of Assassins (2010),As the World Turns,The Menagerie Series - Christopher Golden and Thomas E. Sniegoski,,
,lonelywalker,http://yuletide.livejournal.com/1206311.html?thread=18860583#t18860583,American Renaissance RPF,Aristotle and Dante Discover the Secrets of the Universe - Benjamin Alire Sáenz,The Art of Fielding - Chad Harbach,Death by Silver - Amy Griswold and Melissa Scott,Penny Dreadful,Those Who Kill (US TV)
,peevee,http://yuletide.livejournal.com/1206311.html?thread=18860839#t18860839,His Dark Materials - Philip Pullman,Vi är bäst! | We Are the Best! (2013),Withnail & I (1986),Bring It On (Movies),Rush (2013),
,Magisterequitum,http://yuletide.livejournal.com/1206311.html?thread=18861095#t18861095,The 100 (TV),Continuum (TV),Psy-Changeling - Nalini Singh,Veep,,
Page 2,radialarch,http://yuletide.livejournal.com/1206311.html?thread=18861351#t18861351,Captain America (Movies) RPF,Kings (TV 2009),A Study in Emerald - Neil Gaiman,,,
,Sath,http://yuletide.livejournal.com/1206311.html?thread=18861607#t18861607,A Young Doctor's Notebook (TV Series),Code Name Verity - Elizabeth Wein,Robot Series - Isaac Asimov,,,
,AdaptationDecay,http://yuletide.livejournal.com/1206311.html?thread=18861863#t18861863,Golden Age of Magic RPF,Malory Towers - Enid Blyton,The Discovery Of The Lord Howe Island Stick Insects RPF,In The Night Garden,,
,franzeska,http://yuletide.livejournal.com/1206311.html?thread=18862119#t18862119,Veritas: The Quest,Walt Longmire Mysteries - Craig Johnston,I Spy (1965),Smoke Signals (1998),Grimm (TV),Framed (TV 1992)
,spock,http://yuletide.livejournal.com/1206311.html?thread=18862375#t18862375,"Paris, je t'aime (2006)",Penny Dreadful (TV),Tennis RPF,Warrior (2011),,
,Snickfic,http://yuletide.livejournal.com/1206311.html?thread=18862631#t18862631,X-Force (Comics),FF (Comics),Saga (Comics),Pittsburg Penguins - RPF,Kraken - China Mieville,IT Crowd
,kissoffools,http://yuletide.livejournal.com/1206311.html?thread=18862887#t18862887,21 Jump Street (movies),Last 5 Years - Brown,Neighbors (2014),Orphan Black RPF,,
,astrokath,http://yuletide.livejournal.com/1206311.html?thread=18863143#t18863143,Watership Down - Richard Adams,Dragonriders of Pern - Anne McCaffrey,Exiles Saga and Galactic Milieu - Julian May,In the Flesh (TV),19th Century Scientists RPF,STÅLENHAG Simon - Works
,cordialcount,http://yuletide.livejournal.com/1206311.html?thread=18863399#t18863399,Hilary Tamar Mysteries - Sarah Caudwell,The Culture - Iain M. Banks,Alliance-Union - C. J. Cherryh,Takeshi Kovacs Trilogy - Richard Morgan,,
,disenchanted,http://yuletide.livejournal.com/1206311.html?thread=18863655#t18863655,Brideshead Revisited - Evelyn Waugh,The Picture of Dorian Gray - Oscar Wilde,Regeneration - Pat Barker,,,
,WildAndFreeHearts,http://yuletide.livejournal.com/1206311.html?thread=18864423#t18864423,Der Ring des Nibelungen | The Ring of the Nibelung - Wagner,Historical Jesters RPF,Norse Religion and Lore,The Addams Family (1991),,
,Fells,http://yuletide.livejournal.com/1206311.html?thread=18864935#t18864935,Dark Souls,Steven Erikson - Malazan Book of the Fallen,Magic: The Gathering,Legacy of Kain,,
,raspberryhunter,http://yuletide.livejournal.com/1206311.html?thread=18865959#t18865959,Preiddeu Annwn | The Spoils of Annwn (Poem),Church Going - Philip Larkin,The Instrumentality of Mankind - Cordwainer Smith,,,
,HopefulNebula,http://yuletide.livejournal.com/1206311.html?thread=18866215#t18866215,Alphas,His Dark Materials - Philip Pullman,Jake 2.0,The Martian - Andy Weir,ParaNorman (2012),
,devilinacardigan,http://yuletide.livejournal.com/1206311.html?thread=18866471#t18866471,The Craft (1996),Fingersmith (TV),The Mummy Series,Penny Dreadful (TV),The Tenant of Wildfell Hall (TV 1996),
,Abstractconcept,http://yuletide.livejournal.com/1206311.html?thread=18866727#t18866727,The Mighty Ducks Disney Movie,Americas Next Top Model RPF,Colorado Avalanche RPF,The Cat Who,Project Runway RPF,Dallas Stars RPF
,Rekall,http://yuletide.livejournal.com/1206311.html?thread=18866983#t18866983,Guardians of the Galaxy (Comics),The Authority,Secret Avengers,Inhuman (Comics),Dark Wolverine (Comics),X-Force (Comics)
,jaegecko,http://yuletide.livejournal.com/1206311.html?thread=18867239#t18867239,Bron | Broen | The Bridge,חטופים | Hatufim | Prisoners of War,Lone Star (TV),,,
,Wayfarers,http://yuletide.livejournal.com/1206311.html?thread=18867495#t18867495,A Clockwork Orange (1971),Funny Games (2007),Hobo with a Shotgun (2011),The Purge (2013),Gotham (TV),
,Bond_Girl,http://yuletide.livejournal.com/1206311.html?thread=18867751#t18867751,Boardwalk Empire,Elementary (TV),Pacific Rim (2013) RPF,,,
,havetohowl,http://yuletide.livejournal.com/1206311.html?thread=18868007#t18868007,Archer (Cartoon),Teen Wolf (TV) RPF,Sleepy Hollow (TV),Fright Night (1985),The Blacklist (TV),Almost Human
,mk_tortie,http://yuletide.livejournal.com/1206311.html?thread=18868263#t18868263,Persona 3,This Ain't California,Sabrina the Teenage Witch (TV),Journey (Video Game 2012),,
,blueteak,http://yuletide.livejournal.com/1206311.html?thread=18868519#t18868519,Backdraft (1991),Dublin Murder Squad Series - Tana French,The Hollow Crown (2012),Miss Fisher's Murder Mysteries,,
,skazka,http://yuletide.livejournal.com/1206311.html?thread=18869031#t18869031,The Duchess of Malfi - Webster,Only Lovers Left Alive (2013),The King of Shreds and Patches - Interactive Fiction,The Revenger's Tragedy - Middleton,,
,Krityan,http://yuletide.livejournal.com/1206311.html?thread=18870055#t18870055,Leviathan - Scott Westerfeld,Clock Tower (Video Game 1995),Demento | Haunting Ground,Monster Hunter (Video Games),Valkyrie Profile: Lenneth,神々の悪戯 | Kamigami no Asobi
Page 3,Fabrisse,http://yuletide.livejournal.com/1206311.html?thread=18870567#t18870567,VR.5,Frankenstein - Nick Dear,Amazing Grace (2006),Legion of Extraordinary Dancers,,
,russian_blue,http://yuletide.livejournal.com/1206311.html?thread=18871079#t18871079,Gabriel Knight,Elfquest,Songs for a New World,Jidaigeki X-Men,Sengoku Avengers,
,originally,http://yuletide.livejournal.com/1206311.html?thread=18871591#t18871591,Tales of Dunk and Egg - George R. R. Martin,Ripper Street,Rivers of London - Ben Aaronovitch,Peaky Blinders (TV),Dishonored (Video Game),Penny Dreadful (TV)
,thisisthemorning,http://yuletide.livejournal.com/1206311.html?thread=18871847#t18871847,Bandits (1997),The Lego Movie (2014),Emelan - Tamora Pierce,Black Books,,
,penitence_road,http://yuletide.livejournal.com/1206311.html?thread=18872615#t18872615,Kurosagi Shitai Takuhaibin | Kurosagi Corpse Delivery Service,Giant Robo,Small Gods - Terry Pratchett,,,
,htbthomas,http://yuletide.livejournal.com/1206311.html?thread=18872871#t18872871,A to Z (TV),Forever (TV),The Flash (TV 2014),The Listener (TV),,
,youjik33,http://yuletide.livejournal.com/1206311.html?thread=18873127#t18873127,Royal Tenenbaums (2001),Tropic Thunder (2008),The Secret Life of Walter Mitty (2013),Zoolander (2001),The Watch (2012),The Life Aquatic with Steve Zissou (2004)
,melmillo,http://yuletide.livejournal.com/1206311.html?thread=18873639#t18873639,Shadowrun: Dragonfall,Borderlands,Long Live the Queen,Gilda,,
,gloria_scott,http://yuletide.livejournal.com/1206311.html?thread=18874151#t18874151,Gladiator (2000),Maleficent (2014),Medieval Land Fun-Time World (Video),Snowpiercer (2013),Wizards and Warriors (TV),
,And_Dream_Of_Erebor,http://yuletide.livejournal.com/1206311.html?thread=18874663#t18874663,Dana Knightstone series (Video Games),Эраст Петрович Фандорин - Борис Акунин | Erast Petrovich Fandorin - Boris Akunin,Miranda (TV),,,
,Anndy,http://yuletide.livejournal.com/1206311.html?thread=18874919#t18874919,Punic Wars RPF,Rome,Outlander Series - Diana Gabaldon,,,
,Kivrin,http://yuletide.livejournal.com/1206311.html?thread=18875175#t18875175,Foyle's War,Adam Dalgliesh series - P.D. James,QI RPF,Fake News RPF,,
,jedi_penguin,http://yuletide.livejournal.com/1206311.html?thread=18875687#t18875687,"Mandatory Fun - ""Weird Al"" Yankovic (album)",Counter-Measures (Big Finish Audio),A Fine Romance (TV),The Five(ish) Doctors Reboot,,
,rainbowkitten,http://yuletide.livejournal.com/1206311.html?thread=18876199#t18876199,Big Brother RPF,America's Next Top Model RPF,American Horror Story: Murder House,,,
,Alixtii,http://yuletide.livejournal.com/1206311.html?thread=18876711#t18876711,Rebecca of Sunnybrook Farm - Kate Douglas Wiggin,Illuminatus! Trilogy - Robert Shea & Robert Anton Wilson,That Guy with the Glasses/Channel Awesome,,,
,polkadot,http://yuletide.livejournal.com/1206311.html?thread=18877735#t18877735,Necromancer Chronicles - Amanda Downum,Rosemary and Thyme,Tennis RPF,,,
,Doyle,http://yuletide.livejournal.com/1206311.html?thread=18877991#t18877991,Arrested Development,The Brady Bunch Movie (1995),Parks and Recreation,When In Rome (2010),,
,Deepdarkwaters,http://yuletide.livejournal.com/1206311.html?thread=18878247#t18878247,Conscientious Objector - Edna St Vincent Millay (Poem),Elizabeth Parker's Sampler,Treeful of Starling - Hawksley Workman (Album),The War of the Worlds - H. G. Wells,,
